iter	RMSE
0	46.93170463
1	46.37143461
2	45.93895583
3	45.44913166
4	45.01208551
5	44.47598528
6	42.58708128
7	42.24690266
8	41.72227086
9	41.24335873
10	40.78780434
11	40.51195343
12	40.08941506
13	39.75018556
14	39.37580784
15	39.02026076
16	38.7098989
17	38.3281941
18	37.96992282
19	37.66805634
20	37.26609577
21	36.94346405
22	36.64317845
23	36.334325
24	36.05890412
25	35.74481636
26	35.48717985
27	35.16123131
28	34.78012809
29	34.44385054
30	34.13521905
31	33.88475861
32	33.6603429
33	33.39933616
34	33.07256692
35	32.79069047
36	32.50307166
37	32.14279342
38	31.90303365
39	31.61638003
40	31.30772881
41	30.96161878
42	30.63960445
43	30.28792912
44	30.05578987
45	29.81319866
46	29.62382498
47	29.38527303
48	29.1802965
49	28.9747729
50	28.66918268
51	28.40628009
52	28.14980301
53	27.91827015
54	27.67803442
55	27.40682664
56	27.14729692
57	26.99144842
58	26.73354302
59	26.45270704
60	26.24646793
61	25.93233963
62	25.75324097
63	25.57934575
64	25.32270804
65	25.08734155
66	24.89031649
67	24.63237848
68	24.36349041
69	24.16430266
70	23.9580428
71	23.63444944
72	23.3951915
73	23.1538664
74	22.97288688
75	22.74933375
76	22.56821374
77	22.43928469
78	22.26624279
79	22.00591824
80	21.85441401
81	21.69522557
82	21.57957547
83	21.34157892
84	21.18103018
85	20.99353132
86	20.79717904
87	20.61841942
88	20.51707626
89	20.40501243
90	20.30440571
91	20.16262503
92	19.99905474
93	19.85004047
94	19.65742515
95	19.51225009
96	19.34664648
97	19.17323783
98	19.00475185
99	18.86889816
100	18.70660377
101	18.58370113
102	18.45721973
103	18.29622324
104	18.17963058
105	18.03715301
106	17.8834983
107	17.76910765
108	17.62170173
109	17.50469415
110	17.38988868
111	17.25160222
112	17.16177453
113	17.02363917
114	16.9042936
115	16.76680432
116	16.63284083
117	16.55039274
118	16.42656926
119	16.30362578
120	16.18322568
121	16.09542357
122	15.94976299
123	15.85959862
124	15.75580092
125	15.62075677
126	15.51336987
127	15.44184959
128	15.3232009
129	15.2388313
130	15.10275829
131	14.99494787
132	14.86154876
133	14.75778706
134	14.68917598
135	14.58030175
136	14.45516432
137	14.31873333
138	14.19885755
139	14.08208207
140	13.95713589
141	13.84713315
142	13.76553372
143	13.62855646
144	13.51230048
145	13.43660442
146	13.35229455
147	13.2608372
148	13.18255095
149	13.08333902
150	12.99489882
151	12.93230447
152	12.86266798
153	12.7881396
154	12.72692854
155	12.67104513
156	12.61514793
157	12.52234575
158	12.4400808
159	12.3226601
160	12.27056269
161	12.17920031
162	12.06818363
163	11.98857578
164	11.85384699
165	11.77938416
166	11.72756792
167	11.62076978
168	11.51442036
169	11.43990879
170	11.37490681
171	11.32687103
172	11.26078243
173	11.1859639
174	11.10424591
175	11.00972998
176	10.95244228
177	10.94278384
178	10.86330953
179	10.7904747
180	10.72298065
181	10.65077232
182	10.58858241
183	10.52592337
184	10.45595726
185	10.38609289
186	10.28436004
187	10.21567742
188	10.15430737
189	10.07932022
190	10.03385351
191	9.964387347
192	9.876813239
193	9.827515291
194	9.746410753
195	9.698202126
196	9.642938651
197	9.576951309
198	9.497943361
199	9.439141163
200	9.389620506
201	9.31382326
202	9.259055932
203	9.208305876
204	9.131669365
205	9.073279243
206	8.993420544
207	8.944440601
208	8.895756909
209	8.832557457
210	8.764501517
211	8.722394219
212	8.648150352
213	8.592987392
214	8.547938191
215	8.46603991
216	8.42639663
217	8.355770333
218	8.285099612
219	8.21439811
220	8.169361507
221	8.124188876
222	8.077708582
223	8.028093208
224	7.98634938
225	7.946939916
226	7.901982385
227	7.866582091
228	7.824387592
229	7.791935571
230	7.744530008
231	7.692268369
232	7.639268705
233	7.584285497
234	7.52014291
235	7.466483974
236	7.425465483
237	7.37343748
238	7.329850644
239	7.290814395
240	7.260332121
241	7.223945207
242	7.192025443
243	7.15817582
244	7.123931354
245	7.073205959
246	7.03793882
247	6.981907926
248	6.956287628
249	6.925490563
250	6.88718556
251	6.840298857
252	6.798186533
253	6.764990499
254	6.723732943
255	6.694248177
256	6.644161696
257	6.616582056
258	6.591218779
259	6.565943903
260	6.539545616
261	6.518102282
262	6.489847132
263	6.457322565
264	6.419208137
265	6.3867858
266	6.361078428
267	6.320391176
268	6.292607658
269	6.260781959
270	6.223131591
271	6.198208748
272	6.167263685
273	6.132828309
274	6.106887285
275	6.083677678
276	6.053562258
277	6.031343052
278	6.007962684
279	5.987416738
280	5.964335386
281	5.941750681
282	5.904384379
283	5.874242368
284	5.846742269
285	5.813110035
286	5.770588457
287	5.73792868
288	5.714091833
289	5.688912779
290	5.669842917
291	5.649537683
292	5.619912169
293	5.59918802
294	5.578785862
295	5.547841097
296	5.524328386
297	5.50438512
298	5.4834815
299	5.451131656
300	5.431409566
301	5.412124262
302	5.378294408
303	5.34658254
304	5.328768767
305	5.310346462
306	5.283008778
307	5.265505093
308	5.24756678
309	5.230157885
310	5.213670924
311	5.190620793
312	5.154005752
313	5.118243892
314	5.100106183
315	5.083380812
316	5.062444853
317	5.044977155
318	5.028304108
319	4.993195779
320	4.958918754
321	4.942091293
322	4.909242907
323	4.876625561
324	4.8607041
325	4.834218656
326	4.817950034
327	4.79305278
328	4.777413518
329	4.751827686
330	4.735709377
331	4.72003744
332	4.70460282
333	4.676028849
334	4.651050608
335	4.621244963
336	4.605747575
337	4.581619565
338	4.553176018
339	4.524966311
340	4.501799678
341	4.486655904
342	4.45931568
343	4.444899666
344	4.418694604
345	4.404467777
346	4.389888771
347	4.368512901
348	4.347561299
349	4.324111829
350	4.30994847
351	4.292421396
352	4.275721575
353	4.247483254
354	4.22729541
355	4.211450634
356	4.19894747
357	4.183160349
358	4.161148258
359	4.137086343
360	4.124985316
361	4.107815149
362	4.08668483
363	4.070506697
364	4.048651272
365	4.02241013
366	4.002045572
367	3.982060719
368	3.970716927
369	3.950070491
370	3.937768499
371	3.919507235
372	3.904402192
373	3.890189625
374	3.869723503
375	3.854437146
376	3.842686364
377	3.818884411
378	3.794496512
379	3.77168798
380	3.748924258
381	3.734923994
382	3.72075373
383	3.702747043
384	3.689051525
385	3.674826375
386	3.661898173
387	3.639629194
388	3.628902367
389	3.60084278
390	3.587767772
391	3.57359427
392	3.561377668
393	3.539374719
394	3.526835612
395	3.515030631
396	3.491681227
397	3.478046586
398	3.451683193
399	3.43912375
400	3.428830382
401	3.416886197
402	3.395696756
403	3.384175053
404	3.374286579
405	3.351512824
406	3.34027389
407	3.327436642
408	3.30517552
409	3.285029723
410	3.273825952
411	3.254200914
412	3.243234183
413	3.233922825
414	3.211782446
415	3.201699627
416	3.189826438
417	3.170971189
418	3.16127827
419	3.145014689
420	3.133560996
421	3.117725338
422	3.108355967
423	3.097337667
424	3.086279148
425	3.070996738
426	3.061949347
427	3.051292486
428	3.042585523
429	3.032144578
430	3.023608922
431	3.014163383
432	3.004673484
433	2.994758705
434	2.976323022
435	2.967581395
436	2.957660576
437	2.939633954
438	2.931455901
439	2.910338763
440	2.88976145
441	2.882727205
442	2.875834634
443	2.858525723
444	2.843525014
445	2.836081671
446	2.821428708
447	2.812396364
448	2.798106868
449	2.789268664
450	2.775333866
451	2.767094684
452	2.754700025
453	2.746576989
454	2.739178267
455	2.725782708
456	2.717834826
457	2.710256167
458	2.702409724
459	2.685733304
460	2.678500204
461	2.670862837
462	2.663507648
463	2.656056613
464	2.640004734
465	2.633009311
466	2.626891242
467	2.618551428
468	2.60274322
469	2.594570257
470	2.58123661
471	2.573938804
472	2.566743201
473	2.560849712
474	2.547910482
475	2.540020647
476	2.532983085
477	2.527272215
478	2.512819715
479	2.505147756
480	2.492716955
481	2.485852565
482	2.473695982
483	2.466867449
484	2.453982175
485	2.446634564
486	2.44106778
487	2.436020354
488	2.424458666
489	2.417339704
490	2.408314675
491	2.394354457
492	2.388967449
493	2.377563296
494	2.368225407
495	2.363357253
496	2.358584252
497	2.346649885
498	2.341437487
499	2.332449523
500	2.33008536
501	2.3254543
502	2.323144503
503	2.318621218
504	2.307159282
505	2.304887955
506	2.302652038
507	2.29148494
508	2.289269754
509	2.287089037
510	2.282734995
511	2.267742125
512	2.265616538
513	2.263523964
514	2.261463877
515	2.257237841
516	2.24649862
517	2.244473286
518	2.242479419
519	2.232207533
520	2.228102674
521	2.226147802
522	2.222138075
523	2.207837384
524	2.205833255
525	2.20386179
526	2.20200007
527	2.198110212
528	2.184445627
529	2.173452904
530	2.160131921
531	2.158235146
532	2.145224143
533	2.134666836
534	2.132810931
535	2.119984368
536	2.118153421
537	2.105504518
538	2.102375729
539	2.100583474
540	2.088202426
541	2.085128487
542	2.078191109
543	2.071381576
544	2.069618665
545	2.056913275
546	2.055169861
547	2.044341088
548	2.041338129
549	2.034605202
550	2.022481473
551	2.020761006
552	2.0138248
553	2.012124258
554	2.000289078
555	1.998606396
556	1.994369629
557	1.983224274
558	1.976683574
559	1.965353064
560	1.963848722
561	1.955057289
562	1.953578609
563	1.949436465
564	1.938193696
565	1.931615094
566	1.9300133
567	1.923565338
568	1.921982185
569	1.917254836
570	1.906721864
571	1.900439176
572	1.889732097
573	1.888317368
574	1.879771043
575	1.878378814
576	1.874439705
577	1.866040601
578	1.860565466
579	1.852301043
580	1.850950235
581	1.847128162
582	1.839006867
583	1.831028149
584	1.829716631
585	1.825598309
586	1.824303253
587	1.816454898
588	1.806257529
589	1.801024523
590	1.799760507
591	1.795698734
592	1.788058416
593	1.78681332
594	1.783503281
595	1.778344145
596	1.773255178
597	1.762912938
598	1.757931258
599	1.75395992
600	1.752751278
601	1.742672104
602	1.737794084
603	1.73388036
604	1.732690922
605	1.723151354
606	1.718387899
607	1.717224304
608	1.713378351
609	1.70364981
610	1.698985448
611	1.697840395
612	1.692811353
613	1.689393657
614	1.679911433
615	1.675361928
616	1.666122867
617	1.66166963
618	1.658255707
619	1.654498743
620	1.64747066
621	1.643761383
622	1.642655185
623	1.633800038
624	1.632710326
625	1.62789686
626	1.6245592
627	1.620850988
628	1.614006996
629	1.610353369
630	1.609286023
631	1.600735641
632	1.597473508
633	1.59417368
634	1.59062907
635	1.581969386
636	1.578726942
637	1.575530914
638	1.572032732
639	1.565486854
640	1.562032927
641	1.560880067
642	1.55269535
643	1.551555388
644	1.545744697
645	1.539432157
646	1.535926091
647	1.534927041
648	1.526093288
649	1648	1.714650273
649	1.707364997
650	1.703423435
651	1.700369262
652	1.693210231
653	1.689321826
654	1.685487592
655	1.682469476
656	1.675359513
657	1.671581047
658	1.664651782
659	1.660931533
660	1.657954542
661	1.651144729
662	1.647474502
663	1.643855433
664	1.640913807
665	1.634147924
666	1.630581347
667	1.627064512
668	1.624157054
669	1.617575562
670	1.614105973
671	1.607648626
672	1.604222621
673	1.597884958
674	1.594501893
675	1.591166025
676	1.588441596
677	1.581443836
678	1.578134116
679	1.574870522
680	1.570734302
681	1.567194247
682	1.563124951
683	1.559651707
684	1.555648213
685	1.552496334
686	1.548557411
687	1.544962655
688	1.542381598
689	1.539303888
690	1.532890406
691	1.528928582
692	1.524146824
693	1.521629133
694	1.519146397
695	1.516127887
696	1.509889823
697	1.504456243
698	1.500628965
699	1.498485656
700	1.493121301
701	1.490998708
702	1.487978686
703	1.482689151
704	1.479428456
705	1.474219175
706	1.471258208
707	1.468070675
708	1.4629304
709	1.459507857
710	1.454443474
711	1.447486275
712	1.44439008
713	1.441450037
714	1.438129001
715	1.436135045
716	1.430050191
717	1.427254276
718	1.424284938
719	1.421401101
720	1.419449189
721	1.416606063
722	1.414675455
723	1.412516736
724	1.409885432
725	1.403189964
726	1.397263977
727	1.39459883
728	1.391813224
729	1.388722149
730	1.38597457
731	1.385021202
732	1.379260846
733	1.377165503
734	1.374627785
735	1.37280006
736	1.366338808
737	1.36378772
738	1.360903989
739	1.358440803
740	1.352112282
741	1.349279863
742	1.346793409
743	1.341323833
744745	1.487364763
746	1.484290011
747	1.478354061
748	1.476296938
749	1.473282182
750	1.467939772
751	1.465932643
752	1.459480118
753	1.457529521
754	1.453395376
755	1.451432757
756	1.446351834
757	1.444445545
758	1.435644494
759	1.433887577
760	1.433097704
761	1.431365593
762	1.422744793
763	1.421028355
764	1.414699383
765	1.411046319
